0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:57 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:57 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:57 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:57 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:01:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:45 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:46 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:46 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:46 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:02:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:06:54 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:06:54 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:06:54 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:06:54 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:06:55 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:29 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:29 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:08:31 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:31 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:31 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:19:12:31 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
